BV号,标题,UP主,UP主ID,播放量,弹幕数,点赞数,投币数,收藏数,分享数,时长秒,发布时间戳,分区,简介,排行榜分区,点赞率,投币率,收藏率,发布日期,时长分钟
BV1s3ZbY3E3V,挑战速通曾经火遍全球的海岛奇兵？！,一叮当猫一,450882837,1359836,1944,47494,15582,8291,1953,460,1743498860,手机游戏,兄弟们 喜欢这个系列千万不要忘了多给点三连支持一下老猫 真的很感谢 想继续看务必点点三联！,游戏,0.03492627052085693,0.011458734729776238,0.0060970587629684755,2025-04-01 09:14:20,7.666666666666667
BV147ZYYXEu6,只吃一分豆多久能过关？,举个肘子呀,3546872782261197,1021178,16,6094,6139,69456,54,73,1743260661,手机游戏,-,游戏,0.005967617790434185,0.006011684544712088,0.06801556633613337,2025-03-29 15:04:21,1.2166666666666666
BV1aoZtYDEZG,蛋仔派对：新手教程暗藏地牢？幕后老大曝光，他要毁灭新手玩家！,游小浪Game,318488460,3728810,329,7455,1484,32851,152,383,1743497233,手机游戏,蛋仔派对：新手教程暗藏地牢？幕后老大曝光，他要毁灭新手玩家！,游戏,0.0019992973629656646,0.00039798219807391633,0.008810049318683441,2025-04-01 08:47:13,6.383333333333334
BV18EZzYjEhr,七个ai吗？有点意思啊,小似睡不醒,401767537,2479692,486,113812,12167,110166,28556,70,1743327955,网络游戏,-,游戏,0.045897635674107914,0.004906657762335,0.044427291776559345,2025-03-30 09:45:55,1.1666666666666667
BV1UWZtYVEee,lol愚人节彩蛋：风龙变派对龙，小兵删浏览器记录！企鹅盖伦,葡萄的叮当猫,65538469,671680,565,12524,377,819,6115,352,1743480300,电子竞技,"Music：The Party Troll - D1ofaquavibe

觉得有意思的还请多多支持~
经常更新好玩的，欢迎关注~

版本25.07 / 15.7 (PBE 2025/4/1)
关键词",游戏,0.018645783706526916,0.0005612791805621725,0.0012193306336350644,2025-04-01 04:05:00,5.866666666666666
BV1mnZqYTEYM,在游戏里复刻中国古都为什么那么难？,搅拌摩擦的石叶,834339,1002762,1816,45955,3920,12490,1340,953,1743328800,手机游戏,为什么游戏里很少见像洛圣都、巴黎、雅典那样规模的中国古代大型城市？这个视频我就来和大家聊一下，建造一个超大规模古代中国城市到底难在哪？,游戏,0.04582842189871575,0.003909202781916347,0.012455597639320198,2025-03-30 10:00:00,15.883333333333333
BV1HPZpYQEsD,好久没和白菜打LOL了,橘子怪丶,100022032,703845,1241,29517,5935,1612,650,381,1743472800,网络游戏,,游戏,0.04193679006031158,0.00843225426052611,0.00229027697859614,2025-04-01 02:00:00,6.35
BV1sQZ7Y5EEc,【星穹铁道】3.1混沌回忆（出故乡记）低金满星攻略教学，保姆级操作细节讲解+打法思路分享,墨色长安,25199503,699927,1222,17224,2048,1438,2978,682,1743401812,手机游戏,"视频制作不易，如果觉得有用可以点赞关注支持一下
星铁交流群1017067501 密码88
直播聊天群982994541",游戏,0.02460828057783169,0.0029260194277403217,0.002054499969282511,2025-03-31 06:16:52,11.366666666666667
BV1WdZJYJEaP,《玩了几天诺手治好了我三年抑郁症😋》,困困君丶,88160614,910018,504,59447,2620,993,1878,162,1743417342,电子竞技,喜欢困困玩这种操作英雄的多多转发点赞哦~爱你们❤,游戏,0.06532508148190476,0.0028790639306035706,0.0010911872072860097,2025-03-31 10:35:42,2.7
BV1qHZ4YdEUU,我们要照顾玩家情绪,细胞人Ssski,3546661754243746,815081,2664,43151,3051,3027,593,250,1743479294,手机游戏,,游戏,0.05294075067385941,0.003743186260015876,0.003713741333683401,2025-04-01 03:48:14,4.166666666666667
